week,team1,team2,home
3,TEN,SEA,TRUE
4,TEN,HOU,FALSE
5,TEN,MIA,FALSE
6,TEN,IND,TRUE
7,TEN,CLE,FALSE
8,TEN,BYE,TRUE
9,TEN,BAL,TRUE
10,TEN,CIN,TRUE
11,TEN,PIT,FALSE
12,TEN,IND,FALSE
13,TEN,HOU,TRUE
14,TEN,ARI,FALSE
15,TEN,SF,FALSE
16,TEN,LAR,TRUE
17,TEN,JAC,TRUE
1,WAS,PHI,TRUE
2,WAS,LAR,FALSE
3,WAS,OAK,TRUE
4,WAS,KC,FALSE
5,WAS,BYE,TRUE
6,WAS,SF,TRUE
7,WAS,PHI,FALSE
8,WAS,DAL,TRUE
9,WAS,SEA,FALSE
10,WAS,MIN,TRUE
11,WAS,NO,FALSE
12,WAS,NYG,TRUE
13,WAS,DAL,FALSE
14,WAS,LAC,FALSE
15,WAS,ARI,TRUE
16,WAS,DEN,TRUE
17,WAS,NYG,FALSE
