url,year,seasonType,category
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=TACKLES&conference=null&d-447263-p=1,2011,POST,TACKLES
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PASSING&conference=null&d-447263-p=1,2011,PRE,PASSING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=RUSHING&conference=null&d-447263-p=1,2011,PRE,RUSHING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=RECEIVING&conference=null&d-447263-p=1,2011,PRE,RECEIVING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2011,PRE,KICKING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2011,PRE,FIELD_GOALS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2011,PRE,KICK_RETURNS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2011,PRE,PUNTING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=SACKS&conference=null&d-447263-p=1,2011,PRE,SACKS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=TACKLES&conference=null&d-447263-p=1,2011,PRE,TACKLES
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2010&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PASSING&conference=null&d-447263-p=1,2010,REG,PASSING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2010&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=RUSHING&conference=null&d-447263-p=1,2010,REG,RUSHING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2010&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=RECEIVING&conference=null&d-447263-p=1,2010,REG,RECEIVING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2010&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2010,REG,KICKING
